form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komthayong160,se,3.pl.nfut.neg,se-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong161,hmu,3.sg.1.sg.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong162,hmu,3.sg.1.pl.excl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong163,hmu,3.sg.1.pl.incl.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong164,hmu,3.sg.1.pl.incl.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,sociolect_var,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong165,hmu,3.pl.1.sg.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong166,hmu,3.pl.1.pl.excl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong167,hmu,3.pl.1.pl.incl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong168,hmu,3.pl.1.pl.incl.nfut.neg,a-hmu-mak-hei,a-Σ-mak-hei,a+Σ+mak+hei,a Σ m a k h ei,a + Σ + m a k + h ei,sociolect_var,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong169,hmu,3.pl.1.pl.incl.nfut.neg,hmu-mak-hei-me,Σ-mak-hei-me,Σ+mak+hei+me,Σ m a k h ei m e,Σ + m a k + h ei + m e,unspecified,variable_order,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong170,hmu,3.sg.2.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong171,hmu,3.sg.2.pl.nfut.neg,hmu-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong172,hmu,3.pl.2.sg.nfut.neg,hmu-mak-hei-che,Σ-mak-hei-che,Σ+mak+hei+che,Σ m a k h ei tʃ e,Σ + m a k + h ei + tʃ e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong173,hmu,3.pl.2.pl.nfut.neg,hmu-mak-hei-chui,Σ-mak-hei-chui,Σ+mak+hei+chui,Σ m a k h ei tʃ ui,Σ + m a k + h ei + tʃ ui,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong174,hmu,3.sg.3.sg.nfut.neg,hmu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong175,hmu,3.sg.3.pl.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong176,hmu,3.pl.3.sg.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong177,hmu,3.pl.3.pl.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong178,hmu,3.pl.1.pl.excl fut.aff,an-hmu-sik-ung,an-Σ-sik-ung,an+Σ+sik+ung,a n Σ s i k u ŋ,a n + Σ + s i k + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
