grapheme_id,language_id
-,komthayong
a,komthayong
ch,komthayong
e,komthayong
ei,komthayong
h,komthayong
hm,komthayong
i,komthayong
k,komthayong
m,komthayong
n,komthayong
ng,komthayong
s,komthayong
t,komthayong
u,komthayong
ui,komthayong
Σ,komthayong
